"0590629719","Clifford's Sports Day","Norman Bridwell","1996","Scholastic","http://images.amazon.com/images/P/0590629719.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0590629719.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0590629719.01.LZZZZZZZ.jpg"
"0671023616","Postmortem (Kay Scarpetta Mysteries (Paperback))","Patricia Cornwell","1998","Pocket","http://images.amazon.com/images/P/0671023616.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0671023616.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0671023616.01.LZZZZZZZ.jpg"
"0671027387","Deception Point","Dan Brown","2002","Pocket","http://images.amazon.com/images/P/0671027387.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0671027387.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0671027387.01.LZZZZZZZ.jpg"
"0684848783","Tis : A Memoir","Frank McCourt","1999","Scribner","http://images.amazon.com/images/P/0684848783.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0684848783.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0684848783.01.LZZZZZZZ.jpg"
"0743486226","Angels &amp, Demons","Dan Brown","2003","Atria","http://images.amazon.com/images/P/0743486226.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0743486226.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0743486226.01.LZZZZZZZ.jpg"
"0786863986","A Monk Swimming","Malachy McCourt","1998","Hyperion","http://images.amazon.com/images/P/0786863986.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0786863986.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0786863986.01.LZZZZZZZ.jpg"
"0803251718","Crazy Horse","Mari Sandoz","1961","University of Nebraska Press","http://images.amazon.com/images/P/0803251718.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0803251718.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0803251718.01.LZZZZZZZ.jpg"
"0804117934","The Silent Cry (William Monk Novels (Paperback))","Anne Perry","1998","Ivy Books","http://images.amazon.com/images/P/0804117934.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0804117934.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0804117934.01.LZZZZZZZ.jpg"
"140003180X","The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency)","ALEXANDER MCCALL SMITH","2004","Anchor","http://images.amazon.com/images/P/140003180X.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/140003180X.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/140003180X.01.LZZZZZZZ.jpg"
"155874262X","Chicken Soup for the Soul (Chicken Soup for the Soul)","Jack Canfield","1993","Health Communications","http://images.amazon.com/images/P/155874262X.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/155874262X.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/155874262X.01.LZZZZZZZ.jpg"
"0060987103","Wicked: The Life and Times of the Wicked Witch of the West","Gregory Maguire","1996","Regan Books","http://images.amazon.com/images/P/0060987103.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg"
"0151008116","Life of Pi","Yann Martel","2002","Harcourt","http://images.amazon.com/images/P/0151008116.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg"
"0375704965","A Judgement in Stone","Ruth Rendell","2000","Vintage Books USA","http://images.amazon.com/images/P/0375704965.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0375704965.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0375704965.01.LZZZZZZZ.jpg"
"0525947647","Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right","Al Franken","2003","Dutton Books","http://images.amazon.com/images/P/0525947647.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0525947647.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0525947647.01.LZZZZZZZ.jpg"
"0804111359","Secret History","DONNA TARTT","1993","Ballantine Books","http://images.amazon.com/images/P/0804111359.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0804111359.01.LZZZZZZZ.jpg"
"1558744150","Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper))","Jack Canfield","1996","Health Communications","http://images.amazon.com/images/P/1558744150.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/1558744150.01.LZZZZZZZ.jpg"
"0435272683","Great Expectations (Heinemann Guided Readers)","John Milne","1995","Delta Systems","http://images.amazon.com/images/P/0435272683.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0435272683.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0435272683.01.LZZZZZZZ.jpg"
"0316782505","The Weight of Water","Anita Shreve","2001","Little, Brown","http://images.amazon.com/images/P/0316782505.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0316782505.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0316782505.01.LZZZZZZZ.jpg"
"006102063X","Moving Pictures (Discworld Novels (Paperback))","Terry Pratchett","2002","HarperTorch","http://images.amazon.com/images/P/006102063X.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/006102063X.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/006102063X.01.LZZZZZZZ.jpg"
"0060013117","Night Watch","Terry Pratchett","2002","HarperCollins","http://images.amazon.com/images/P/0060013117.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0060013117.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0060013117.01.LZZZZZZZ.jpg"
"0060199563","Thief of Time","Terry Pratchett","2001","HarperCollins Publishers","http://images.amazon.com/images/P/0060199563.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0060199563.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0060199563.01.LZZZZZZZ.jpg"
"006052779X","Charlotte's Web Book and Charm (Charming Classics)","E. B. White","2003","HarperFestival","http://images.amazon.com/images/P/006052779X.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/006052779X.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/006052779X.01.LZZZZZZZ.jpg"
"0060563079","Peter Pan: The Original Story (Peter Pan)","J. M. Barrie","2003","HarperFestival","http://images.amazon.com/images/P/0060563079.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0060563079.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0060563079.01.LZZZZZZZ.jpg"
"0060809027","My Friend Flicka","Mary O'Hara","1988","Perennial","http://images.amazon.com/images/P/0060809027.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0060809027.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0060809027.01.LZZZZZZZ.jpg"
"0061040967","The Last Hero : A Discworld Fable (Discworld Novels (Hardcover))","Terry Pratchett","2001","HarperCollins","http://images.amazon.com/images/P/0061040967.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0061040967.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0061040967.01.LZZZZZZZ.jpg"
"0061050474","Jingo: A Discworld Novel (Discworld Series/Terry Pratchett)","Terry Pratchett","1998","HarperPrism","http://images.amazon.com/images/P/0061050474.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0061050474.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0061050474.01.LZZZZZZZ.jpg"
